timestamp,location,customer_ID,Delta_t,location_after,dairy-dairy,spices-spices,drinks-drinks,fruit-fruit,dairy-spices,dairy-drinks,dairy-fruit,dairy-checkout,spices-dairy,spices-drinks,spices-fruit,spices-checkout,drinks-dairy,drinks-spices,drinks-fruit,drinks-checkout,fruit-dairy,fruit-spices,fruit-drinks,fruit-checkout
2019-09-02 07:03:00,dairy,200001,2.0,checkout,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-02 07:03:00,dairy,200002,3.0,checkout,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-02 07:04:00,dairy,200003,2.0,checkout,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-02 07:04:00,dairy,200004,4.0,checkout,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-02 07:04:00,spices,200005,1.0,checkout,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-09-02 07:04:00,spices,200006,1.0,dairy,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-09-02 07:05:00,dairy,200006,12.0,spices,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-02 07:17:00,spices,200006,1.0,drinks,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-09-02 07:18:00,drinks,200006,7.0,spices,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-09-02 07:25:00,spices,200006,1.0,dairy,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-09-02 07:26:00,dairy,200006,1.0,spices,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-02 07:27:00,spices,200006,2.0,checkout,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-09-02 07:04:00,spices,200007,1.0,drinks,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-09-02 07:05:00,drinks,200007,4.0,spices,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-09-02 07:09:00,spices,200007,2.0,fruit,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
